delivery_partner_id,partner_name,vehicle_type,joining_date
701,Kavya Verma,Scooter,11-05-2023
702,Sai Gupta,Bike,30-08-2023
703,Ira Reddy,Bike,16-05-2023
704,Ira Reddy,Bike,01-10-2023
705,Kavya Sharma,Bike,04-04-2023
706,Riya Khan,Bike,09-09-2023
707,Aadhya Reddy,Bike,24-06-2023
708,Aarav Patel,Bike,28-12-2023
709,Myra Reddy,Bike,11-04-2023
710,Aadhya Gupta,Bike,24-08-2023
711,Sai Mehta,Bike,27-11-2023
712,Ishaan Iyer,Bike,19-10-2023
713,Kavya Mehta,Bike,17-04-2023
714,Riya Iyer,Scooter,07-05-2023
715,Arjun Khan,Scooter,01-07-2023
716,Vihaan Mehta,Bike,13-05-2023
717,Anika Iyer,Bike,16-06-2023
718,Sneha Gupta,Bike,31-01-2023
719,Arjun Singh,Scooter,27-05-2023
720,Myra Reddy,Bike,08-02-2023
721,Myra Khan,Scooter,09-01-2023
722,Aditya Patel,Bike,17-07-2023
723,Krishna Mehta,Bike,10-03-2023
724,Ishaan Khan,Bike,18-01-2023
725,Reyansh Reddy,Scooter,18-11-2023
726,Arjun Patel,Bike,10-02-2023
727,Ishaan Nair,Scooter,04-11-2023
728,Aarav Sharma,Bike,27-07-2023
729,Shaurya Patel,Scooter,11-07-2023
730,Reyansh Mehta,Bike,24-12-2023
731,Aadhya Khan,Scooter,05-05-2023
732,Reyansh Iyer,Bike,24-12-2023
733,Riya Mehta,Scooter,04-08-2023
734,Riya Reddy,Scooter,26-05-2023
735,Kavya Mehta,Bike,23-08-2023
736,Saanvi Iyer,Scooter,23-10-2023
737,Aadhya Nair,Bike,07-09-2023
738,Kavya Iyer,Bike,16-04-2023
739,Aarav Nair,Bike,07-06-2023
740,Aadhya Nair,Bike,10-07-2023
741,Saanvi Mehta,Scooter,20-02-2023
742,Shaurya Singh,Bike,09-05-2023
743,Diya Khan,Bike,21-04-2023
744,Diya Reddy,Bike,02-01-2023
745,Myra Khan,Bike,25-06-2023
746,Kavya Nair,Bike,24-09-2023
747,Diya Nair,Scooter,07-04-2023
748,Ira Gupta,Bike,22-06-2023
749,Aadhya Verma,Bike,29-07-2023
750,Myra Sharma,Bike,12-12-2023
751,Aarav Khan,Scooter,07-08-2023
752,Aditya Patel,Bike,26-09-2023
753,Sneha Sharma,Bike,11-09-2023
754,Aditya Reddy,Bike,26-09-2023
755,Vihaan Mehta,Bike,26-02-2023
756,Aarav Patel,Bike,19-07-2023
757,Sai Mehta,Scooter,21-04-2023
758,Ishaan Nair,Bike,29-09-2023
759,Sai Singh,Bike,02-07-2023
760,Ira Sharma,Bike,01-02-2023
761,Myra Khan,Bike,11-07-2023
762,Ananya Nair,Scooter,05-08-2023
763,Ananya Reddy,Bike,28-06-2023
764,Diya Verma,Bike,30-12-2023
765,Aadhya Mehta,Bike,19-04-2023
766,Arjun Iyer,Bike,17-12-2023
767,Vihaan Patel,Bike,16-01-2023
768,Myra Gupta,Bike,28-03-2023
769,Diya Iyer,Bike,18-01-2023
770,Ira Verma,Bike,16-05-2023
771,Krishna Gupta,Bike,13-09-2023
772,Vihaan Khan,Bike,13-04-2023
773,Ira Nair,Bike,01-12-2023
774,Anika Mehta,Bike,15-01-2023
775,Myra Reddy,Scooter,16-03-2023
776,Aditya Iyer,Bike,14-04-2023
777,Myra Gupta,Scooter,13-03-2023
778,Vivaan Verma,Scooter,06-11-2023
779,Krishna Singh,Bike,04-08-2023
780,Myra Reddy,Bike,05-12-2023
781,Diya Verma,Scooter,03-06-2023
782,Vihaan Iyer,Scooter,12-02-2023
783,Ananya Iyer,Bike,19-08-2023
784,Saanvi Verma,Scooter,04-10-2023
785,Anika Reddy,Bike,19-01-2023
786,Ira Khan,Scooter,07-09-2023
787,Kavya Mehta,Scooter,03-04-2023
788,Saanvi Reddy,Bike,06-01-2023
789,Aarav Nair,Bike,29-04-2023
790,Krishna Nair,Bike,10-11-2023
791,Diya Singh,Bike,05-05-2023
792,Riya Gupta,Bike,10-08-2023
793,Ishaan Iyer,Bike,29-03-2023
794,Diya Patel,Scooter,28-10-2023
795,Aarav Reddy,Bike,13-05-2023
796,Krishna Khan,Scooter,07-04-2023
797,Ira Singh,Bike,02-02-2023
798,Sneha Khan,Scooter,16-05-2023
799,Arjun Patel,Bike,27-06-2023
800,Myra Sharma,Bike,07-01-2023
